stage,gin,barcode,induct_at_ms,shiptop_station_at_ms,contentsdrop_station_at_ms,verification_at_ms,expected_shiptop_printer,expected_contentsdrop_printer,expected_verification_barcode,expected_outcome,required_log_markers
1,1,PNA4-ALL-0001,0,3000,3500,6500,PNA2_151,I001,PNA4-ALL-0001123,ship,"Gin: 1 barcode: PNA4-ALL-0001 | Sending Label to printer : PNA4-ALL-0001 at Printer: PNA2_151 | Sending Label to printer : PNA4-ALL-0001 at Printer: I001 | [Verification SUCCESS] GIN 1 matches expected barcode PNA4-ALL-0001123"
1,2,PNA4-ALL-0002,1000,5000,5500,8500,PNA2_152,I002,PNA4-ALL-0002123,ship,"Gin: 2 barcode: PNA4-ALL-0002 | Sending Label to printer : PNA4-ALL-0002 at Printer: PNA2_152 | Sending Label to printer : PNA4-ALL-0002 at Printer: I002 | [Verification SUCCESS] GIN 2 matches expected barcode PNA4-ALL-0002123"
1,3,PNA4-ALL-0003,2000,5000,5500,8500,PNA2_151,I001,PNA4-ALL-0003123,ship,"Gin: 3 barcode: PNA4-ALL-0003 | Sending Label to printer : PNA4-ALL-0003 at Printer: PNA2_151 | Sending Label to printer : PNA4-ALL-0003 at Printer: I001 | [Verification SUCCESS] GIN 3 matches expected barcode PNA4-ALL-0003123"
1,4,PNA4-ALL-0004,3000,7000,7500,10500,PNA2_152,I002,PNA4-ALL-0004123,ship,"Gin: 4 barcode: PNA4-ALL-0004 | Sending Label to printer : PNA4-ALL-0004 at Printer: PNA2_152 | Sending Label to printer : PNA4-ALL-0004 at Printer: I002 | [Verification SUCCESS] GIN 4 matches expected barcode PNA4-ALL-0004123"
1,5,PNA4-ALL-0005,4000,7000,7500,10500,PNA2_151,I001,PNA4-ALL-0005123,ship,"Gin: 5 barcode: PNA4-ALL-0005 | Sending Label to printer : PNA4-ALL-0005 at Printer: PNA2_151 | Sending Label to printer : PNA4-ALL-0005 at Printer: I001 | [Verification SUCCESS] GIN 5 matches expected barcode PNA4-ALL-0005123"
1,6,PNA4-ALL-0006,5000,9000,9500,12500,PNA2_152,I002,PNA4-ALL-0006123,ship,"Gin: 6 barcode: PNA4-ALL-0006 | Sending Label to printer : PNA4-ALL-0006 at Printer: PNA2_152 | Sending Label to printer : PNA4-ALL-0006 at Printer: I002 | [Verification SUCCESS] GIN 6 matches expected barcode PNA4-ALL-0006123"
1,7,PNA4-ALL-0007,6000,9000,9500,12500,PNA2_151,I001,PNA4-ALL-0007123,ship,"Gin: 7 barcode: PNA4-ALL-0007 | Sending Label to printer : PNA4-ALL-0007 at Printer: PNA2_151 | Sending Label to printer : PNA4-ALL-0007 at Printer: I001 | [Verification SUCCESS] GIN 7 matches expected barcode PNA4-ALL-0007123"
1,8,PNA4-ALL-0008,7000,11000,11500,14500,PNA2_152,I002,PNA4-ALL-0008123,ship,"Gin: 8 barcode: PNA4-ALL-0008 | Sending Label to printer : PNA4-ALL-0008 at Printer: PNA2_152 | Sending Label to printer : PNA4-ALL-0008 at Printer: I002 | [Verification SUCCESS] GIN 8 matches expected barcode PNA4-ALL-0008123"
2,9,PNA4-SHIPDOWN-0001,0,4000,3500,7000,PNA2_152,I001,PNA4-SHIPDOWN-0001123,ship,"Gin: 9 barcode: PNA4-SHIPDOWN-0001 | Sending Label to printer : PNA4-SHIPDOWN-0001 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0001 at Printer: I001 | [Verification SUCCESS] GIN 9 matches expected barcode PNA4-SHIPDOWN-0001123"
2,10,PNA4-SHIPDOWN-0002,1000,5000,5500,8500,PNA2_152,I002,PNA4-SHIPDOWN-0002123,ship,"Gin: 10 barcode: PNA4-SHIPDOWN-0002 | Sending Label to printer : PNA4-SHIPDOWN-0002 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0002 at Printer: I002 | [Verification SUCCESS] GIN 10 matches expected barcode PNA4-SHIPDOWN-0002123"
2,11,PNA4-SHIPDOWN-0003,2000,6000,5500,9000,PNA2_152,I001,PNA4-SHIPDOWN-0003123,ship,"Gin: 11 barcode: PNA4-SHIPDOWN-0003 | Sending Label to printer : PNA4-SHIPDOWN-0003 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0003 at Printer: I001 | [Verification SUCCESS] GIN 11 matches expected barcode PNA4-SHIPDOWN-0003123"
2,12,PNA4-SHIPDOWN-0004,3000,7000,7500,10500,PNA2_152,I002,PNA4-SHIPDOWN-0004123,ship,"Gin: 12 barcode: PNA4-SHIPDOWN-0004 | Sending Label to printer : PNA4-SHIPDOWN-0004 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0004 at Printer: I002 | [Verification SUCCESS] GIN 12 matches expected barcode PNA4-SHIPDOWN-0004123"
